1011TS	101751893	Amsterdam		locality	15
1011AW	101751893	Amsterdam		locality	14
1011BK	101751893	Amsterdam		locality	14
1011BP	101751893	Amsterdam		locality	14
1011CW	101751893	Amsterdam		locality	14
1011JR	101751893	Amsterdam		locality	14
1011KD	101751893	Amsterdam		locality	14
1011KS	101751893	Amsterdam		locality	14
1011LS	101751893	Amsterdam		locality	14
1011PW	101751893	Amsterdam		locality	14
1011TP	101751893	Amsterdam		locality	14
1011BM	101751893	Amsterdam		locality	13
1011BN	101751893	Amsterdam		locality	13
1011ED	101751893	Amsterdam		locality	13
1011KM	101751893	Amsterdam		locality	13
1011RX	101751893	Amsterdam		locality	13
1011SK	101751893	Amsterdam		locality	13
1011VA	101751893	Amsterdam		locality	13
1011CN	101751893	Amsterdam		locality	12
1011ER	101751893	Amsterdam		locality	12
1011HX	101751893	Amsterdam		locality	12
1011JK	101751893	Amsterdam		locality	12
1011JM	101751893	Amsterdam		locality	12
1011LA	101751893	Amsterdam		locality	12
1011SE	101751893	Amsterdam		locality	12
1011VB	101751893	Amsterdam		locality	12
1011XA	101751893	Amsterdam		locality	12
1011BR	101751893	Amsterdam		locality	11
1011JJ	101751893	Amsterdam		locality	11
1011RM	101751893	Amsterdam		locality	11
1011SC	101751893	Amsterdam		locality	11
1011BL	101751893	Amsterdam		locality	10
1011CE	101751893	Amsterdam		locality	10
1011ES	101751893	Amsterdam		locality	10
1011GT	101751893	Amsterdam		locality	10
1011JC	101751893	Amsterdam		locality	10
1011JX	101751893	Amsterdam		locality	10
1011KV	101751893	Amsterdam		locality	10
1011NX	101751893	Amsterdam		locality	10
1011RS	101751893	Amsterdam		locality	10
1011VR	101751893	Amsterdam		locality	10
1011AS	101751893	Amsterdam		locality	9
1011BA	101751893	Amsterdam		locality	9
1011CL	101751893	Amsterdam		locality	9
1011DB	101751893	Amsterdam		locality	9
1011GB	101751893	Amsterdam		locality	9
1011JW	101751893	Amsterdam		locality	9
1011LK	101751893	Amsterdam		locality	9
1011MC	101751893	Amsterdam		locality	9
1011PV	101751893	Amsterdam		locality	9
1011RC	101751893	Amsterdam		locality	9
1011RJ	101751893	Amsterdam		locality	9
1011RT	101751893	Amsterdam		locality	9
1011RV	101751893	Amsterdam		locality	9
1011RZ	101751893	Amsterdam		locality	9
1011AG	101751893	Amsterdam		locality	8
1011AM	101751893	Amsterdam		locality	8
1011BB	101751893	Amsterdam		locality	8
1011EZ	101751893	Amsterdam		locality	8
1011KX	101751893	Amsterdam		locality	8
1011NG	101751893	Amsterdam		locality	8
1011RW	101751893	Amsterdam		locality	8
1011TK	101751893	Amsterdam		locality	8
1011VJ	101751893	Amsterdam		locality	8
1011VX	101751893	Amsterdam		locality	8
1011GC	101751893	Amsterdam		locality	7
1011GP	101751893	Amsterdam		locality	7
1011JG	101751893	Amsterdam		locality	7
1011JS	101751893	Amsterdam		locality	7
1011LX	101751893	Amsterdam		locality	7
1011NE	101751893	Amsterdam		locality	7
1011EV	101751893	Amsterdam		locality	6
1011MS	101751893	Amsterdam		locality	6
1011RB	101751893	Amsterdam		locality	6
1011RP	101751893	Amsterdam		locality	6
1011VC	101751893	Amsterdam		locality	6
1011VE	101751893	Amsterdam		locality	6
1011VH	101751893	Amsterdam		locality	6
1011CP	101751893	Amsterdam		locality	5
1011GK	101751893	Amsterdam		locality	5
1011HN	101751893	Amsterdam		locality	5
1011NN	101751893	Amsterdam		locality	5
1011NP	101751893	Amsterdam		locality	5
1011NZ	101751893	Amsterdam		locality	5
1011PA	101751893	Amsterdam		locality	5
1011PC	101751893	Amsterdam		locality	5
1011RR	101751893	Amsterdam		locality	5
1011SN	101751893	Amsterdam		locality	5
1011VD	101751893	Amsterdam		locality	5
1011VG	101751893	Amsterdam		locality	5
1011	101751893	Amsterdam		locality	4
1011HM	101751893	Amsterdam		locality	4
1011JD	101751893	Amsterdam		locality	4
1011LN	101751893	Amsterdam		locality	4
1011NH	101751893	Amsterdam		locality	4
1011RD	101751893	Amsterdam		locality	4
1011AD	101751893	Amsterdam		locality	3
1011AE	101751893	Amsterdam		locality	3
1011HA	101751893	Amsterdam		locality	3
1011NR	101751893	Amsterdam		locality	3
1011PD	101751893	Amsterdam		locality	3
1011PE	101751893	Amsterdam		locality	3
1011PN	101751893	Amsterdam		locality	3
1011AL	101751893	Amsterdam		locality	2
1011JE	101751893	Amsterdam		locality	2
1011ME	101751893	Amsterdam		locality	2
1011NM	101751893	Amsterdam		locality	2
1011TA	101751893	Amsterdam		locality	2
1011AK	101751893	Amsterdam		locality	1
1011DC	101751893	Amsterdam		locality	1
1011DH	101751893	Amsterdam		locality	1
1011SM	101751893	Amsterdam		locality	1
1011VT	101751893	Amsterdam		locality	1
1011VW	101751893	Amsterdam		locality	1
1012AB	101751893	Amsterdam		locality	163
1012WP	101751893	Amsterdam		locality	112
1012AE	101751893	Amsterdam		locality	93
1012GH	101751893	Amsterdam		locality	90
1012ZJ	101751893	Amsterdam		locality	86
1012PV	101751893	Amsterdam		locality	79
1012BA	101751893	Amsterdam		locality	70
1012NG	101751893	Amsterdam		locality	70
1012AZ	101751893	Amsterdam		locality	66
1012NC	101751893	Amsterdam		locality	66
1012SP	101751893	Amsterdam		locality	66
1012TA	101751893	Amsterdam		locality	66
1012NB	101751893	Amsterdam		locality	65
1012GJ	101751893	Amsterdam		locality	63
1012GL	101751893	Amsterdam		locality	62
1012JE	101751893	Amsterdam		locality	58
1012NH	101751893	Amsterdam		locality	57
1012CZ	101751893	Amsterdam		locality	56
1012DA	101751893	Amsterdam		locality	56
1012NK	101751893	Amsterdam		locality	56
1012VC	101751893	Amsterdam		locality	56
1012BV	101751893	Amsterdam		locality	55
1012GR	101751893	Amsterdam		locality	55
1012HG	101751893	Amsterdam		locality	55
1012VH	101751893	Amsterdam		locality	55
1012CB	101751893	Amsterdam		locality	54
1012BS	101751893	Amsterdam		locality	53
1012GS	101751893	Amsterdam		locality	52
1012HL	101751893	Amsterdam		locality	52
1012WG	101751893	Amsterdam		locality	52
1012GZ	101751893	Amsterdam		locality	51
1012LX	101751893	Amsterdam		locality	51
1012TW	101751893	Amsterdam		locality	51
1012DG	101751893	Amsterdam		locality	50
1012HC	101751893	Amsterdam		locality	50
1012SV	101751893	Amsterdam		locality	50
1012VG	101751893	Amsterdam		locality	50
1012VM	101751893	Amsterdam		locality	50
1012AL	101751893	Amsterdam		locality	49
1012RR	101751893	Amsterdam		locality	49
1012SH	101751893	Amsterdam		locality	49
1012HE	101751893	Amsterdam		locality	48
1012NE	101751893	Amsterdam		locality	48
1012TS	101751893	Amsterdam		locality	47
1012VX	101751893	Amsterdam		locality	47
1012DP	101751893	Amsterdam		locality	46
1012EJ	101751893	Amsterdam		locality	46
1012GD	101751893	Amsterdam		locality	46
1012MB	101751893	Amsterdam		locality	46
1012VP	101751893	Amsterdam		locality	46
1012JD	101751893	Amsterdam		locality	45
1012NJ	101751893	Amsterdam		locality	45
1012RN	101751893	Amsterdam		locality	45
1012ES	101751893	Amsterdam		locality	44
1012SW	101751893	Amsterdam		locality	44
1012WV	101751893	Amsterdam		locality	44
1012BP	101751893	Amsterdam		locality	43
1012CD	101751893	Amsterdam		locality	43
1012GT	101751893	Amsterdam		locality	43
1012RS	101751893	Amsterdam		locality	43
1012RV	101751893	Amsterdam		locality	43
1012XK	101751893	Amsterdam		locality	43
1012XL	101751893	Amsterdam		locality	43
1012EH	101751893	Amsterdam		locality	42
1012JM	101751893	Amsterdam		locality	42
1012LZ	101751893	Amsterdam		locality	42
1012RD	101751893	Amsterdam		locality	42
1012VN	101751893	Amsterdam		locality	42
1012JH	101751893	Amsterdam		locality	41
1012SJ	101751893	Amsterdam		locality	41
1012TD	101751893	Amsterdam		locality	41
1012JV	101751893	Amsterdam		locality	40
1012RM	101751893	Amsterdam		locality	40
1012SE	101751893	Amsterdam		locality	40
1012AS	101751893	Amsterdam		locality	39
1012BG	101751893	Amsterdam		locality	39
1012BW	101751893	Amsterdam		locality	39
1012CR	101751893	Amsterdam		locality	38
1012AR	101751893	Amsterdam		locality	37
1012DB	101751893	Amsterdam		locality	37
1012ML	101751893	Amsterdam		locality	37
1012VR	101751893	Amsterdam		locality	37
1012VT	101751893	Amsterdam		locality	37
1012BM	101751893	Amsterdam		locality	36
1012DV	101751893	Amsterdam		locality	36
1012HT	101751893	Amsterdam		locality	36
1012MS	101751893	Amsterdam		locality	36
1012ST	101751893	Amsterdam		locality	36
1012WS	101751893	Amsterdam		locality	36
1012GP	101751893	Amsterdam		locality	35
1012MC	101751893	Amsterdam		locality	35
1012PT	101751893	Amsterdam		locality	35
1012RK	101751893	Amsterdam		locality	35
1012ZE	101751893	Amsterdam		locality	35
1012DM	101751893	Amsterdam		locality	34
1012EL	101751893	Amsterdam		locality	34
1012JG	101751893	Amsterdam		locality	34
1012LL	101751893	Amsterdam		locality	34
1012LR	101751893	Amsterdam		locality	34
1012PL	101751893	Amsterdam		locality	34
1012PS	101751893	Amsterdam		locality	34
1012VW	101751893	Amsterdam		locality	34
1012XM	101751893	Amsterdam		locality	34
1012AA	101751893	Amsterdam		locality	33
1012BZ	101751893	Amsterdam		locality	33
1012DS	101751893	Amsterdam		locality	33
1012GE	101751893	Amsterdam		locality	33
1012JS	101751893	Amsterdam		locality	33
1012TK	101751893	Amsterdam		locality	33
1012WT	101751893	Amsterdam		locality	33
1012BX	101751893	Amsterdam		locality	32
1012DC	101751893	Amsterdam		locality	32
1012GK	101751893	Amsterdam		locality	32
1012MR	101751893	Amsterdam		locality	32
1012NM	101751893	Amsterdam		locality	32
1012TV	101751893	Amsterdam		locality	32
1012EW	101751893	Amsterdam		locality	31
1012KV	101751893	Amsterdam		locality	31
1012MA	101751893	Amsterdam		locality	31
1012PM	101751893	Amsterdam		locality	31
1012RW	101751893	Amsterdam		locality	31
1012VD	101751893	Amsterdam		locality	31
1012AC	101751893	Amsterdam		locality	30
1012CW	101751893	Amsterdam		locality	30
1012DR	101751893	Amsterdam		locality	30
1012EX	101751893	Amsterdam		locality	30
1012HX	101751893	Amsterdam		locality	30
1012VA	101751893	Amsterdam		locality	30
1012WL	101751893	Amsterdam		locality	30
1012JA	101751893	Amsterdam		locality	29
1012RE	101751893	Amsterdam		locality	29
1012RT	101751893	Amsterdam		locality	29
1012RZ	101751893	Amsterdam		locality	29
1012AV	101751893	Amsterdam		locality	28
1012BJ	101751893	Amsterdam		locality	28
1012CJ	101751893	Amsterdam		locality	28
1012ED	101751893	Amsterdam		locality	28
1012GM	101751893	Amsterdam		locality	28
1012JP	101751893	Amsterdam		locality	28
1012LP	101751893	Amsterdam		locality	28
1012MD	101751893	Amsterdam		locality	28
1012VV	101751893	Amsterdam		locality	28
1012BB	101751893	Amsterdam		locality	27
1012CE	101751893	Amsterdam		locality	27
1012CT	101751893	Amsterdam		locality	27
1012WH	101751893	Amsterdam		locality	27
1012JB	101751893	Amsterdam		locality	26
1012LJ	101751893	Amsterdam		locality	26
1012NL	101751893	Amsterdam		locality	26
1012NN	101751893	Amsterdam		locality	26
1012SN	101751893	Amsterdam		locality	26
1012TM	101751893	Amsterdam		locality	26
1012VK	101751893	Amsterdam		locality	26
1012WJ	101751893	Amsterdam		locality	26
1012BH	101751893	Amsterdam		locality	25
1012EC	101751893	Amsterdam		locality	25
1012HW	101751893	Amsterdam		locality	25
1012JN	101751893	Amsterdam		locality	25
1012WR	101751893	Amsterdam		locality	25
1012WX	101751893	Amsterdam		locality	25
1012CL	101751893	Amsterdam		locality	24
1012MH	101751893	Amsterdam		locality	24
1012PB	101751893	Amsterdam		locality	24
1012SC	101751893	Amsterdam		locality	24
1012BC	101751893	Amsterdam		locality	23
1012BN	101751893	Amsterdam		locality	23
1012EM	101751893	Amsterdam		locality	23
1012EZ	101751893	Amsterdam		locality	23
1012HM	101751893	Amsterdam		locality	23
1012KE	101751893	Amsterdam		locality	23
1012NX	101751893	Amsterdam		locality	23
1012WN	101751893	Amsterdam		locality	23
1012AK	101751893	Amsterdam		locality	22
1012EK	101751893	Amsterdam		locality	22
1012JL	101751893	Amsterdam		locality	22
1012KD	101751893	Amsterdam		locality	22
1012KW	101751893	Amsterdam		locality	22
1012LK	101751893	Amsterdam		locality	22
1012LM	101751893	Amsterdam		locality	22
1012RB	101751893	Amsterdam		locality	22
1012CK	101751893	Amsterdam		locality	21
1012CX	101751893	Amsterdam		locality	21
1012DJ	101751893	Amsterdam		locality	21
1012MK	101751893	Amsterdam		locality	21
1012SR	101751893	Amsterdam		locality	21
1012ZL	101751893	Amsterdam		locality	21
1012AH	101751893	Amsterdam		locality	20
1012CP	101751893	Amsterdam		locality	20
1012DE	101751893	Amsterdam		locality	20
1012DT	101751893	Amsterdam		locality	20
1012DX	101751893	Amsterdam		locality	20
1012EB	101751893	Amsterdam		locality	20
1012GA	101751893	Amsterdam		locality	20
1012KL	101751893	Amsterdam		locality	20
1012TE	101751893	Amsterdam		locality	20
1012TL	101751893	Amsterdam		locality	20
1012TT	101751893	Amsterdam		locality	20
1012TZ	101751893	Amsterdam		locality	20
1012XJ	101751893	Amsterdam		locality	20
1012AT	101751893	Amsterdam		locality	19
1012AW	101751893	Amsterdam		locality	19
1012BL	101751893	Amsterdam		locality	19
1012DW	101751893	Amsterdam		locality	19
1012HH	101751893	Amsterdam		locality	19
1012JC	101751893	Amsterdam		locality	19
1012SB	101751893	Amsterdam		locality	19
1012VE	101751893	Amsterdam		locality	19
1012ZG	101751893	Amsterdam		locality	19
1012BT	101751893	Amsterdam		locality	18
1012CA	101751893	Amsterdam		locality	18
1012DK	101751893	Amsterdam		locality	18
1012DN	101751893	Amsterdam		locality	18
1012DZ	101751893	Amsterdam		locality	18
1012EN	101751893	Amsterdam		locality	18
1012KC	101751893	Amsterdam		locality	18
1012KT	101751893	Amsterdam		locality	18
1012RP	101751893	Amsterdam		locality	18
1012SZ	101751893	Amsterdam		locality	18
1012TC	101751893	Amsterdam		locality	18
1012ZD	101751893	Amsterdam		locality	18
1012EP	101751893	Amsterdam		locality	17
1012ET	101751893	Amsterdam		locality	17
1012GB	101751893	Amsterdam		locality	17
1012HA	101751893	Amsterdam		locality	17
1012HZ	101751893	Amsterdam		locality	17
1012NZ	101751893	Amsterdam		locality	17
1012SG	101751893	Amsterdam		locality	17
1012TN	101751893	Amsterdam		locality	17
1012XR	101751893	Amsterdam		locality	17
1012AG	101751893	Amsterdam		locality	16
1012BK	101751893	Amsterdam		locality	16
1012DD	101751893	Amsterdam		locality	16
1012HV	101751893	Amsterdam		locality	16
1012KR	101751893	Amsterdam		locality	16
1012LC	101751893	Amsterdam		locality	16
1012LH	101751893	Amsterdam		locality	16
